[monitor_start] Monitoring PID 3478873 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773930007305,15876,2262,2262,63488,,
[monitor_data] 1773930008585,83900,2375,2375,106496,,
[monitor_data] 1773930009220,138404,2651,2651,239616,Phase 2,Iteration 1
[monitor_data] 1773930009865,271720,2668,2668,776192,Phase 2,Iteration 1
[monitor_data] 1773930010501,854276,20834,20834,946176,Phase 3,Iteration 1
[monitor_data] 1773930011136,994260,20829,20829,946176,Phase 5,Iteration 1
[monitor_data] 1773930011800,994260,20833,20833,835584,Phase 5,Iteration 1
[monitor_data] 1773930012441,1006852,27059,27059,835584,Phase 5,Iteration 1
[monitor_data] 1773930013077,1008528,29365,29365,835584,Phase 5,Iteration 1
[monitor_data] 1773930013714,1009596,29759,29759,835584,Phase 5,Iteration 1
[monitor_data] 1773930014348,1010348,26565,26565,835584,Phase 5,Iteration 1
[monitor_data] 1773930014987,1010348,51705,51705,794624,Phase 5,Iteration 1
[monitor_data] 1773930015622,1033184,51454,51454,794624,Phase 5,Iteration 1
[monitor_data] 1773930016263,1062032,57084,57084,794624,Phase 5,Iteration 1
[monitor_data] 1773930016900,1064000,53635,53635,794624,Phase 5,Iteration 1
[monitor_data] 1773930017541,1064008,50273,50273,794624,Phase 5,Iteration 1
[monitor_data] 1773930018191,1064012,50814,50814,796672,Phase 5,Iteration 1
[monitor_data] 1773930018830,1064016,50687,50687,796672,Phase 5,Iteration 1
[monitor_data] 1773930019465,1064016,50687,50687,796672,Phase 5,Iteration 1
[monitor_data] 1773930020099,1064016,50687,50687,796672,Phase 6,Iteration 1
[monitor_data] 1773930020731,1064016,50688,50688,796672,Phase 6,Iteration 1
[monitor_data] 1773930021370,1064016,0,0,0,Phase 6,Iteration 1
[monitor_data] 1773930021994,,0,0,0,Phase 6,Iteration 1
[monitor_end] Process 3478873 terminated
