"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: keyPayloadSize","Param: liveSet","Param: lookupsPerInvocation","Param: replacementsPerInvocation","Param: retirementsPerInvocation","Param: valuePayloadSize"
"org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.cleanup","thrpt",1,5,6574.363580,2513.605208,"ops/s",64,4096,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.lookup","thrpt",1,5,631780.285221,8320.669598,"ops/s",64,4096,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.mixed","thrpt",1,5,5314.775559,2640.901017,"ops/s",64,4096,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.replace","thrpt",1,5,1787051.012692,595382.652912,"ops/s",64,4096,32,8,16,256
