run_prefix,run_id,benchmark,variant,metric,units,sample_index,total_avg,total_max,source_log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent References Enqueue,ms,1,0.003,0.003,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent References Process,ms,1,19.197,28.253,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Remap Remembered,ms,1,3.0,4.238,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Remap Roots Colored,ms,1,0.076,0.085,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Remap Roots Uncolored,ms,1,0.285,0.309,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Roots ClassLoaderDataGraph,ms,1,0.039,0.078,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Roots CodeCache,ms,1,0.284,0.307,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Roots JavaThreads,ms,1,0.007,0.031,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Roots OopStorageSet,ms,1,0.003,0.009,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Subphase: Concurrent Weak Roots OopStorageSet,ms,1,0.045,0.064,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,System: Java Threads,threads,1,11.0,11.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Generation: Young Generation,ms,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Generation: Young Generation,ms,2,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Generation: Young Generation (Collect Roots),ms,1,2.331,4.071,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Generation: Young Generation (Promote All),ms,1,122.119,576.241,run_multi_none_run100_slurm-5076215-multi.log
