run_prefix,run_id,benchmark,variant,timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,source_log
slurm-5076215,slurm-5076215-multi,multi,none,1777002161321,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002161657,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002162003,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002162325,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002162653,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002163004,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002163339,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002163672,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002163998,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002164327,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002164669,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002165017,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002165345,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002165697,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002166029,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002166369,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002166710,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002167045,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002167392,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002167737,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002168082,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002168416,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002168762,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002169096,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002169435,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002169782,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002170109,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002170447,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002170796,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002171151,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002171494,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002171841,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002172206,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002172574,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002172916,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002173264,,0,0,0,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993845143,21140,0,0,10240,,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993869599,63176,25525,25525,83968,,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993869975,120524,25832,25832,393216,Phase 1,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993870369,486576,25923,25923,1036288,Phase 2,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993870716,1088508,25940,25940,1036288,Phase 2,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993871068,1088508,25940,25940,1036288,Phase 2,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993871429,1088508,25940,25940,1036288,Phase 2,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993871763,1088508,25940,25940,1036288,Phase 2,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993872112,1088508,25940,25940,1036288,Phase 2,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993872463,1088508,25940,25940,1036288,Phase 2,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993872829,1088508,25940,25940,1036288,Phase 2,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993873184,1088508,25940,25940,1036288,Phase 2,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993873554,1088508,56539,56539,1036288,Phase 3.1,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993873939,1122572,56539,56539,1036288,Phase 3.1,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993874300,1122572,86136,86136,954368,Phase 3.1,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993874659,1186104,165482,165482,792576,Phase 3.2,monitor_multi_none_run10_slurm-5076215-multi.csv
