[monitor_start] Monitoring PID 3523580 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773967796647,7540492,430483,430483,6762496,Phase 3,Iteration 2
[monitor_data] 1773967797286,7553636,442431,442431,6762496,Phase 3,Iteration 2
[monitor_data] 1773967797928,7568184,444954,444954,6762496,Phase 3,Iteration 2
[monitor_data] 1773967798570,7570548,655782,655782,6246400,Phase 3,Iteration 2
[monitor_data] 1773967799238,7828944,588875,588875,6244352,Phase 3,Iteration 2
[monitor_data] 1773967799875,7959316,662072,662072,6246400,Phase 3,Iteration 2
[monitor_data] 1773967800516,7963104,672446,672446,6246400,Phase 3,Iteration 2
[monitor_data] 1773967801156,7963104,687218,687218,6246400,Phase 3,Iteration 2
[monitor_data] 1773967801793,7982408,687697,687697,6246400,Phase 3,Iteration 2
[monitor_data] 1773967802435,7989516,689290,689290,6246400,Phase 3,Iteration 2
[monitor_data] 1773967803072,8013204,721187,721187,6246400,Phase 3,Iteration 2
[monitor_data] 1773967803709,8020580,728251,728251,6246400,Phase 3,Iteration 2
[monitor_data] 1773967804350,8029752,708380,708380,6246400,Phase 3,Iteration 2
[monitor_data] 1773967804995,8029752,708380,708380,5699584,Phase 3,Iteration 2
[monitor_data] 1773967805636,8111784,626876,626876,3188736,Phase 3,Iteration 2
[monitor_data] 1773967806293,8111784,513697,513697,3098624,Phase 3,Iteration 2
[monitor_data] 1773967806931,8111792,606711,606711,3100672,Phase 3,Iteration 2
[monitor_data] 1773967807566,8111800,608223,608223,3100672,Phase 3,Iteration 2
[monitor_data] 1773967808201,8111800,607280,607280,3100672,Phase 3,Iteration 2
[monitor_data] 1773967808842,8111800,607010,607010,3100672,Phase 3,Iteration 2
[monitor_data] 1773967809479,8111800,608485,608485,3100672,Phase 3,Iteration 2
[monitor_data] 1773967810116,8111800,609545,609545,3100672,Phase 3,Iteration 2
[monitor_data] 1773967810756,8111800,606763,606763,3100672,Phase 3,Iteration 2
[monitor_data] 1773967811398,8111800,559969,559969,1529856,Phase 3,Iteration 2
[monitor_data] 1773967812043,8098744,391646,391646,669696,Phase 3,Iteration 2
[monitor_data] 1773967812679,8098744,408928,408928,669696,Phase 4,Iteration 2
[monitor_data] 1773967813319,8098744,409287,409287,669696,Phase 4,Iteration 2
[monitor_data] 1773967813959,8098744,410597,410597,669696,Phase 4,Iteration 2
[monitor_data] 1773967814598,8098744,409753,409753,669696,Phase 4,Iteration 2
[monitor_data] 1773967815232,8098744,410796,410796,669696,Phase 4,Iteration 2
[monitor_data] 1773967815869,7731084,39136,39136,6144,Phase 4,Iteration 2
[monitor_data] 1773967816505,7671440,2710,2710,6144,Phase 4,Iteration 2
[monitor_data] 1773967817141,7671440,2715,2715,6144,Phase 4,Iteration 2
[monitor_data] 1773967817782,7671440,2710,2710,6144,Phase 4,Iteration 2
[monitor_data] 1773967818417,7671440,2710,2710,6144,Phase 4,Iteration 2
[monitor_data] 1773967819058,7671440,2710,2710,151552,Phase 1,Iteration 3
[monitor_data] 1773967819704,7671440,2775,2775,839680,Phase 1,Iteration 3
[monitor_data] 1773967820349,7671440,7524,7524,4503552,Phase 1,Iteration 3
[monitor_data] 1773967821005,7671440,164106,164106,6791168,Phase 2,Iteration 3
[monitor_data] 1773967821657,7671440,139090,139090,6791168,Phase 2,Iteration 3
[monitor_data] 1773967822296,7671440,114206,114206,6791168,Phase 2,Iteration 3
[monitor_data] 1773967822937,7671952,114537,114537,6791168,Phase 2,Iteration 3
[monitor_data] 1773967823580,7682252,283470,283470,6791168,Phase 2,Iteration 3
[monitor_data] 1773967824218,7718168,307477,307477,6821888,Phase 3,Iteration 3
[monitor_data] 1773967824864,7718168,284791,284791,6821888,Phase 3,Iteration 3
[monitor_data] 1773967825505,7718168,261377,261377,6821888,Phase 3,Iteration 3
[monitor_data] 1773967826147,7718168,237437,237437,6821888,Phase 3,Iteration 3
[monitor_data] 1773967826800,7718168,321607,321607,6821888,Phase 3,Iteration 3
[monitor_data] 1773967827448,7718220,319695,319695,6764544,Phase 3,Iteration 3
[monitor_data] 1773967828086,7718224,327314,327314,6764544,Phase 3,Iteration 3
[monitor_data] 1773967828724,7718224,353348,353348,6764544,Phase 3,Iteration 3
[monitor_data] 1773967829365,7722300,331091,331091,6762496,Phase 3,Iteration 3
[monitor_data] 1773967830004,7722300,315515,315515,6762496,Phase 3,Iteration 3
[monitor_data] 1773967830647,7764796,432243,432243,6764544,Phase 3,Iteration 3
[monitor_data] 1773967831288,7775464,460149,460149,6764544,Phase 3,Iteration 3
[monitor_data] 1773967831920,7788200,459712,459712,6764544,Phase 3,Iteration 3
[monitor_data] 1773967832562,7789136,647530,647530,5902336,Phase 3,Iteration 3
[monitor_data] 1773967833213,7987660,503046,503046,5515264,Phase 3,Iteration 3
[monitor_data] 1773967833859,7987660,571805,571805,5515264,Phase 3,Iteration 3
[monitor_data] 1773967834495,8057060,585175,585175,5515264,Phase 3,Iteration 3
[monitor_data] 1773967835130,8057788,583764,583764,5515264,Phase 3,Iteration 3
[monitor_data] 1773967835765,8064892,599580,599580,5515264,Phase 3,Iteration 3
[monitor_data] 1773967836402,8067944,600842,600842,5515264,Phase 3,Iteration 3
[monitor_data] 1773967837040,8071260,599173,599173,5515264,Phase 3,Iteration 3
[monitor_data] 1773967837679,8108460,640446,640446,5515264,Phase 3,Iteration 3
[monitor_data] 1773967838320,8114236,626009,626009,5515264,Phase 3,Iteration 3
[monitor_data] 1773967838958,8114236,842909,842909,4614144,Phase 3,Iteration 3
[monitor_data] 1773967839604,8330332,656872,656872,3098624,Phase 3,Iteration 3
[monitor_data] 1773967840266,8330332,599751,599751,3098624,Phase 3,Iteration 3
[monitor_data] 1773967840906,8330332,693258,693258,3098624,Phase 3,Iteration 3
[monitor_data] 1773967841543,8330332,694072,694072,3098624,Phase 3,Iteration 3
[monitor_data] 1773967842181,8330332,692777,692777,3098624,Phase 3,Iteration 3
[monitor_data] 1773967842820,8330332,692796,692796,3098624,Phase 3,Iteration 3
[monitor_data] 1773967843460,8330332,693296,693296,3098624,Phase 3,Iteration 3
[monitor_data] 1773967844099,8330332,693517,693517,3098624,Phase 3,Iteration 3
[monitor_data] 1773967844737,8330332,692304,692304,3098624,Phase 3,Iteration 3
[monitor_data] 1773967845378,8330332,543352,543352,1269760,Phase 3,Iteration 3
[monitor_data] 1773967846023,8230944,391304,391304,669696,Phase 3,Iteration 3
[monitor_data] 1773967846659,8147400,408530,408530,669696,Phase 4,Iteration 3
[monitor_data] 1773967847298,8147400,409021,409021,669696,Phase 4,Iteration 3
[monitor_data] 1773967847940,8147400,408633,408633,669696,Phase 4,Iteration 3
[monitor_data] 1773967848581,8147400,411815,411815,669696,Phase 4,Iteration 3
[monitor_data] 1773967849210,8147400,408564,408564,638976,Phase 4,Iteration 3
[monitor_data] 1773967849844,7781308,5139,5139,6144,Phase 4,Iteration 3
[monitor_data] 1773967850479,7653456,2704,2704,6144,Phase 4,Iteration 3
[monitor_data] 1773967851115,7653456,2704,2704,6144,Phase 4,Iteration 3
[monitor_data] 1773967851752,7653456,2704,2704,6144,Phase 4,Iteration 3
[monitor_data] 1773967852391,7653456,2704,2704,6144,Phase 4,Iteration 3
[monitor_data] 1773967853037,7653456,2704,2704,0,Phase 4,
[monitor_data] 1773967853706,,0,0,0,Phase 4,
[monitor_data] 1773967854323,,0,0,0,Phase 4,
[monitor_end] Process 3523580 terminated
