[monitor_start] Monitoring PID 2449527 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773992423181,7486404,426182,426182,6760448,Phase 3,Iteration 2
[monitor_data] 1773992423824,7536688,462043,462043,6694912,Phase 3,Iteration 2
[monitor_data] 1773992424468,7536688,473535,473535,6692864,Phase 3,Iteration 2
[monitor_data] 1773992425108,7695324,539364,539364,6692864,Phase 3,Iteration 2
[monitor_data] 1773992425741,7765524,618699,618699,6692864,Phase 3,Iteration 2
[monitor_data] 1773992426378,7813896,621295,621295,6692864,Phase 3,Iteration 2
[monitor_data] 1773992427018,7860392,790145,790145,6694912,Phase 3,Iteration 2
[monitor_data] 1773992427662,7911768,790608,790608,6694912,Phase 3,Iteration 2
[monitor_data] 1773992428302,7945368,787440,787440,6694912,Phase 3,Iteration 2
[monitor_data] 1773992428939,7951472,990230,990230,5955584,Phase 3,Iteration 2
[monitor_data] 1773992429586,8063140,795850,795850,3098624,Phase 3,Iteration 2
[monitor_data] 1773992430238,8007680,673117,673117,3096576,Phase 3,Iteration 2
[monitor_data] 1773992430881,8044784,765989,765989,3096576,Phase 3,Iteration 2
[monitor_data] 1773992431524,8065096,766477,766477,3096576,Phase 3,Iteration 2
[monitor_data] 1773992432156,8081468,765912,765912,3096576,Phase 3,Iteration 2
[monitor_data] 1773992432794,8096792,765779,765779,3096576,Phase 3,Iteration 2
[monitor_data] 1773992433434,8112960,768193,768193,3098624,Phase 3,Iteration 2
[monitor_data] 1773992434075,8129016,769612,769612,3098624,Phase 3,Iteration 2
[monitor_data] 1773992434709,8145112,767274,767274,3098624,Phase 3,Iteration 2
[monitor_data] 1773992435351,8161760,560238,560238,1744896,Phase 3,Iteration 2
[monitor_data] 1773992435996,8009376,392032,392032,669696,Phase 3,Iteration 2
[monitor_data] 1773992436637,8009376,409096,409096,667648,Phase 3,Iteration 2
[monitor_data] 1773992437279,8009396,411382,411382,667648,Phase 3,Iteration 2
[monitor_data] 1773992437917,8009396,409213,409213,667648,Phase 3,Iteration 2
[monitor_data] 1773992438556,8009396,408837,408837,667648,Phase 3,Iteration 2
[monitor_data] 1773992439198,8009396,411482,411482,669696,Phase 4,Iteration 2
[monitor_data] 1773992439835,8009396,410431,410431,641024,Phase 4,Iteration 2
[monitor_data] 1773992440473,7641816,39618,39618,6144,Phase 4,Iteration 2
[monitor_data] 1773992441105,7539920,3160,3160,6144,Phase 4,Iteration 2
[monitor_data] 1773992441741,7539920,3201,3201,6144,Phase 4,Iteration 2
[monitor_data] 1773992442385,7539920,3160,3160,6144,Phase 4,Iteration 2
[monitor_data] 1773992443024,7539920,3160,3160,6144,Phase 4,Iteration 2
[monitor_data] 1773992443662,7539920,3160,3160,6144,Phase 4,Iteration 2
[monitor_data] 1773992444302,7539920,3160,3160,6144,Phase 4,Iteration 2
[monitor_data] 1773992444933,7539920,3277,3277,180224,Phase 1,Iteration 3
[monitor_data] 1773992445574,7539920,7843,7843,2154496,Phase 1,Iteration 3
[monitor_data] 1773992446222,7539920,123340,123340,5693440,Phase 1,Iteration 3
[monitor_data] 1773992446877,7539920,159755,159755,6789120,Phase 2,Iteration 3
[monitor_data] 1773992447517,7539920,134652,134652,6789120,Phase 2,Iteration 3
[monitor_data] 1773992448155,7539920,116937,116937,6787072,Phase 2,Iteration 3
[monitor_data] 1773992448796,7486836,232207,232207,6787072,Phase 2,Iteration 3
[monitor_data] 1773992449438,7486836,308737,308737,6815744,Phase 2,Iteration 3
[monitor_data] 1773992450077,7507748,300437,300437,6817792,Phase 3,Iteration 3
[monitor_data] 1773992450721,7507752,277307,277307,6817792,Phase 3,Iteration 3
[monitor_data] 1773992451367,7507752,254087,254087,6817792,Phase 3,Iteration 3
