[monitor_start] Monitoring PID 1629686 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773952845026,7524960,678287,678287,5851136,Phase 3,Iteration 2
[monitor_data] 1773952845667,7550280,850932,850932,4835328,Phase 3,Iteration 2
[monitor_data] 1773952846318,7621404,628046,628046,3971072,Phase 3,Iteration 2
[monitor_data] 1773952846982,7643340,614369,614369,3969024,Phase 3,Iteration 2
[monitor_data] 1773952847621,7675196,735294,735294,3969024,Phase 3,Iteration 2
[monitor_data] 1773952848265,7699072,734188,734188,3969024,Phase 3,Iteration 2
[monitor_data] 1773952848903,7711192,736297,736297,3969024,Phase 3,Iteration 2
[monitor_data] 1773952849539,7735280,733191,733191,3971072,Phase 3,Iteration 2
[monitor_data] 1773952850177,7736016,400494,400494,1538048,Phase 3,Iteration 2
[monitor_data] 1773952850829,7483236,323106,323106,1536000,Phase 3,Iteration 2
[monitor_data] 1773952851463,7485932,369564,369564,1536000,Phase 3,Iteration 2
[monitor_data] 1773952852105,7495360,370701,370701,1536000,Phase 3,Iteration 2
[monitor_data] 1773952852744,7504720,246570,246570,325632,Phase 3,Iteration 2
[monitor_data] 1773952853388,7298036,186402,186402,323584,Phase 3,Iteration 2
[monitor_data] 1773952854023,7298036,192947,192947,323584,Phase 3,Iteration 2
[monitor_data] 1773952854664,7298036,194061,194061,294912,Phase 3,Iteration 2
[monitor_data] 1773952855303,7125304,18191,18191,294912,Phase 3,Iteration 2
[monitor_data] 1773952855944,7125304,22978,22978,294912,Phase 3,Iteration 2
[monitor_data] 1773952856583,7125304,18083,18083,294912,Phase 3,Iteration 2
[monitor_data] 1773952857227,7125304,19963,19963,294912,Phase 3,Iteration 2
[monitor_data] 1773952857865,7125304,18083,18083,294912,Phase 3,Iteration 2
[monitor_data] 1773952858506,7125304,20560,20560,296960,Phase 4,Iteration 2
[monitor_data] 1773952859149,7125304,20094,20094,296960,Phase 4,Iteration 2
[monitor_data] 1773952859791,7125304,3685,3685,8192,Phase 4,Iteration 2
[monitor_data] 1773952860432,7125256,3685,3685,8192,Phase 4,Iteration 2
