"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: insertsPerInvocation","Param: keyPayloadSize","Param: liveSet","Param: lookupsPerInvocation","Param: replacementsPerInvocation","Param: retirementsPerInvocation","Param: valuePayloadSize"
"org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.cleanup","thrpt",1,10,0.754820,0.016555,"ops/s",,64,50000000,512,256,1024,256
"org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.insert","thrpt",1,10,1143380.825048,14031.302074,"ops/s",8,64,50000000,512,256,1024,256
"org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.lookup","thrpt",1,10,7560.286598,390.532511,"ops/s",,64,50000000,512,256,1024,256
"org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.replace","thrpt",1,10,5138.678668,1622.154922,"ops/s",,64,50000000,512,256,1024,256
