"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: insertsPerInvocation","Param: keyPayloadSize","Param: liveSet","Param: lookupsPerInvocation","Param: replacementsPerInvocation","Param: retirementsPerInvocation","Param: valuePayloadSize"
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.cleanup","thrpt",1,10,0.709441,0.014189,"ops/s",,64,50000000,512,256,1024,256
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.insert","thrpt",1,10,1291246.574096,24000.927183,"ops/s",8,64,50000000,512,256,1024,256
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.lookup","thrpt",1,10,8234.702636,67.186567,"ops/s",,64,50000000,512,256,1024,256
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.replace","thrpt",1,10,4234.304783,1194.279600,"ops/s",,64,50000000,512,256,1024,256
