"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: keyPayloadSize","Param: liveSet","Param: lookupsPerInvocation","Param: replacementsPerInvocation","Param: retirementsPerInvocation","Param: valuePayloadSize"
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.cleanup","thrpt",1,5,0.457311,0.001733,"ops/s",64,67108864,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.lookup","thrpt",1,5,127139.575548,1158.289616,"ops/s",64,67108864,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.mixed","thrpt",1,5,0.451151,0.003319,"ops/s",64,67108864,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.replace","thrpt",1,5,63502.818805,72226.164438,"ops/s",64,67108864,32,8,16,256
