"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: keyPayloadSize","Param: liveSet","Param: lookupsPerInvocation","Param: replacementsPerInvocation","Param: retirementsPerInvocation","Param: valuePayloadSize"
"org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.cleanup","thrpt",1,5,16119.655908,930.378885,"ops/s",64,4096,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.lookup","thrpt",1,5,1302055.577067,37857.316619,"ops/s",64,4096,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.mixed","thrpt",1,5,9487.817882,687.509510,"ops/s",64,4096,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.replace","thrpt",1,5,1347390.599785,4536913.164690,"ops/s",64,4096,32,8,16,256
