"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: keyPayloadSize","Param: liveSet","Param: lookupsPerInvocation","Param: replacementsPerInvocation","Param: retirementsPerInvocation","Param: valuePayloadSize"
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.cleanup","thrpt",1,5,18564.509067,731.153890,"ops/s",64,4096,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.lookup","thrpt",1,5,1403824.244769,65498.880179,"ops/s",64,4096,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.mixed","thrpt",1,5,10128.455115,353.924807,"ops/s",64,4096,32,8,16,256
"org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.replace","thrpt",1,5,1379325.108601,4647516.863550,"ops/s",64,4096,32,8,16,256
